----------------------------------------------------

Results for Site 205 then Site 158

----------------------------------------------------


Fpet.Site.205 = adegenet::read.fstat("~/CyPySci/jnason/Task 2015-10-21/Fpet_Site_205_SNPs.dat")

Note that in importing the Fstat formatted file into a genind object, loci with all missing data are completely excluded from the import.

Fpet.Site.205@pop = as.factor(rep(1,59))

hw.test(Fpet.Site.205, B=1000)

             chi^2 df  Pr(chi^2 >) Pr.exact
Fpet.12   5.464840  1 1.940283e-02    0.030
Fpet.21  31.059982  1 2.501764e-08    0.000
Fpet.14   4.000000  1 4.550026e-02    0.078
Fpet.20  20.372761  1 6.373050e-06    0.000
Fpet.15   7.366908  1 6.643506e-03    0.008
Fpet.19   1.489438  1 2.223036e-01    0.254
Fpet.17 128.000505  1 0.000000e+00    1.000
Fpet.02 182.588761  1 0.000000e+00    0.000
Fpet.29  39.543311  1 3.208636e-10    0.096
Fpet.10  13.997119  1 1.830909e-04    0.001
Fpet.03  14.441867  1 1.445527e-04    0.000
Fpet.28  41.084116  1 1.458166e-10    0.270
Fpet.23   5.108889  1 2.380356e-02    0.042
Fpet.09   1.772305  1 1.830970e-01    0.229
Fpet.04  19.116676  1 1.229658e-05    0.014
Fpet.27   2.099974  1 1.473016e-01    0.177
Fpet.24   7.000000  1 8.150972e-03    0.078
Fpet.08   9.702659  1 1.840016e-03    0.003
Fpet.06   8.354358  1 3.847633e-03    0.007
Fpet.26  12.831235  1 3.408808e-04    0.000
Fpet.25  10.128166  1 1.460207e-03    0.002
Fpet.07  32.071338  1 1.486137e-08    0.002
Fpet.49  11.844384  1 5.783549e-04    0.002
Fpet.41  35.533111  1 2.507517e-09    0.002
Fpet.48  17.973675  1 2.239812e-05    0.000
Fpet.43   8.394050  1 3.764513e-03    0.005
Fpet.47  57.000000  1 4.363176e-14    0.000
Fpet.44  18.513906  1 1.686692e-05    0.000
Fpet.30   8.864732  1 2.907329e-03    0.005
Fpet.60   4.148571  1 4.166967e-02    0.054
Fpet.50  12.010825  1 5.289243e-04    0.000
Fpet.39  27.346564  1 1.700664e-07    0.000
Fpet.31  12.324473  1 4.470580e-04    0.000
Fpet.51   7.451772  1 6.337403e-03    0.008
Fpet.37   6.319287  1 1.194317e-02    0.014
Fpet.32   6.669399  1 9.808225e-03    0.013
Fpet.35   5.237737  1 2.210201e-02    0.038
Fpet.33  26.691015  1 2.387290e-07    0.000
Fpet.53  21.743563  1 3.116338e-06    0.103
Fpet.34  10.748580  1 1.043594e-03    0.001


----------------------------------------------------


Fpet.Site.158 = adegenet::read.fstat("~/CyPySci/jnason/Task 2015-10-21/Fpet_Site_158_SNPs.dat")

Fpet.Site.158@pop = as.factor(rep(1,93))

hw.test(Fpet.Site.158, B=1000)

            chi^2 df  Pr(chi^2 >) Pr.exact
Fpet.12  3.715382  1 5.391328e-02    0.079
Fpet.21  8.481280  1 3.588195e-03    0.005
Fpet.14  2.000000  1 1.572992e-01    0.332
Fpet.20  6.525522  1 1.063373e-02    0.013
Fpet.15 30.943623  1 2.656335e-08    0.000
Fpet.19 58.611453  1 1.920686e-14    0.050
Fpet.17 54.360150  1 1.668665e-13    0.051
Fpet.02 38.015203  1 7.019554e-10    0.000
Fpet.29 95.089581  1 0.000000e+00    0.026
Fpet.10  7.692308  1 5.545667e-03    0.008
Fpet.03 46.358804  1 9.846457e-12    0.000
Fpet.28 23.669182  1 1.143999e-06    0.000
Fpet.23  1.861180  1 1.724886e-01    0.200
Fpet.09 40.185832  1 2.309170e-10    0.003
Fpet.04 18.323570  1 1.863869e-05    0.000
Fpet.27  2.888924  1 8.919045e-02    0.096
Fpet.24  9.672152  1 1.870820e-03    0.016
Fpet.08  1.628661  1 2.018884e-01    0.258
Fpet.06  9.549813  1 1.999698e-03    0.002
Fpet.26  7.679748  1 5.584397e-03    0.007
Fpet.25 14.627552  1 1.309855e-04    0.000
Fpet.07 11.835818  1 5.810218e-04    0.000
Fpet.49 40.110328  1 2.400167e-10    0.000
Fpet.41 15.874756  1 6.767542e-05    0.000
Fpet.48 35.000000  1 3.297053e-09    0.000
Fpet.43 41.930225  1 9.458911e-11    0.001
Fpet.47 88.000000  1 0.000000e+00    0.000
Fpet.44 59.026530  1 1.554312e-14    0.000
Fpet.30 12.203918  1 4.768924e-04    0.000
Fpet.60 12.510949  1 4.045741e-04    0.000
Fpet.50  8.007875  1 4.657437e-03    0.002
Fpet.39 62.000000  1 3.441691e-15    0.007
Fpet.31 40.004004  1 2.534427e-10    0.003
Fpet.51 17.684726  1 2.607116e-05    0.000
Fpet.37 17.307239  1 3.179732e-05    0.000
Fpet.32  5.805583  1 1.597537e-02    0.020
Fpet.35 17.337068  1 3.130211e-05    0.000
Fpet.33  7.842481  1 5.103251e-03    0.011
Fpet.53  9.889348  1 1.662383e-03    0.001
Fpet.34 75.349698  1 0.000000e+00    0.458






