query,geneid,isoformnum,ref,%id,alignlen,mismatch,gapopens,qstart,qend,refstart,refend,evalue,seqlen
c108_g1_i1,c108_g1_i1,c108_g1,1,navi_HOG4741,87.28,723,92,0,25,747,723,1,0.0,826
c108_g1_i2,c108_g1_i2,c108_g1,2,navi_HOG4741,87.11,1265,163,0,87,1351,1265,1,0.0,1434
c162_g1_i1,c162_g1_i1,c162_g1,1,navi_HOG6418,80.41,148,23,2,82,229,944,803,4e-24,108
c196_g1_i1,c196_g1_i1,c196_g1,1,navi_HOG4752,96.49,57,2,0,521,577,1,57,9e-20,95.3
c1054_g1_i1,c1054_g1_i1,c1054_g1,1,navi_HOG6975,80.86,1259,226,4,209,1467,1244,1,0.0,976
c1886_g1_i1,c1886_g1_i1,c1886_g1,1,navi_HOG4566,85.63,334,40,4,127,459,1001,675,1e-94,344
c2363_g1_i1,c2363_g1_i1,c2363_g1,1,navi_HOG5474,80.60,928,176,4,667,1592,1,926,0.0,713
c2461_g1_i1,c2461_g1_i1,c2461_g1,1,navi_HOG6433,87.16,296,34,4,506,799,378,671,3e-91,333
c2489_g1_i1,c2489_g1_i1,c2489_g1,1,navi_HOG4485,76.29,970,217,12,18,979,286,1250,6e-143,505
c2493_g1_i1,c2493_g1_i1,c2493_g1,1,navi_HOG5864,81.06,2397,454,0,511,2907,1,2397,0.0,1912
c2615_g1_i1,c2615_g1_i1,c2615_g1,1,navi_HOG5198,79.88,1332,224,32,8,1322,102,1406,0.0,935
c2625_g1_i1,c2625_g1_i1,c2625_g1,1,navi_HOG4327,78.18,1123,228,14,220,1338,28,1137,0.0,701
c2635_g1_i2,c2635_g1_i2,c2635_g1,2,navi_HOG4186,88.14,683,81,0,103,785,843,161,0.0,813
c2657_g1_i1,c2657_g1_i1,c2657_g1,1,navi_HOG5661,75.25,1919,435,25,2628,4532,1630,3522,0.0,876
c2726_g1_i1,c2726_g1_i1,c2726_g1,1,navi_HOG7224,87.39,817,100,2,230,1043,1,817,0.0,935
c2763_g1_i1,c2763_g1_i1,c2763_g1,1,CG11981_618_Nasonia,87.40,619,76,2,84,701,1,618,0.0,710
c2763_g1_i1,c2763_g1_i1,c2763_g1,1,navi_HOG4604,87.34,616,76,2,84,698,1,615,0.0,704
c2763_g1_i2,c2763_g1_i2,c2763_g1,2,CG11981_618_Nasonia,87.91,554,67,0,84,637,1,554,0.0,652
c2763_g1_i2,c2763_g1_i2,c2763_g1,2,navi_HOG4604,87.91,554,67,0,84,637,1,554,0.0,652
c2782_g1_i1,c2782_g1_i1,c2782_g1,1,navi_HOG7083,84.66,2607,379,16,153,2744,2615,15,0.0,2579
c2869_g1_i1,c2869_g1_i1,c2869_g1,1,navi_HOG4501,79.54,992,186,14,313,1297,1011,30,0.0,691
c2883_g1_i1,c2883_g1_i1,c2883_g1,1,navi_HOG5466,80.97,452,86,0,117,568,1,452,3e-99,359
c2890_g1_i1,c2890_g1_i1,c2890_g1,1,navi_HOG6754,80.32,940,182,3,413,1351,22,959,0.0,708
c2928_g1_i1,c2928_g1_i1,c2928_g1,1,navi_HOG3349,84.14,1122,169,4,448,1560,1686,565,0.0,1077
c2977_g1_i1,c2977_g1_i1,c2977_g1,1,navi_HOG5235,81.39,591,104,6,341,928,82,669,1e-134,477
c3065_g1_i1,c3065_g1_i1,c3065_g1,1,navi_HOG7151,80.55,1239,223,9,328,1560,1227,1,0.0,937
c3145_g1_i1,c3145_g1_i1,c3145_g1,1,navi_HOG6002,78.23,294,61,3,144,435,140,432,9e-47,185
c3203_g1_i1,c3203_g1_i1,c3203_g1,1,navi_HOG3228,86.96,391,46,5,894,1283,387,1,1e-121,435
c3203_g1_i2,c3203_g1_i2,c3203_g1,2,navi_HOG3228,86.96,391,46,5,1269,1658,387,1,2e-121,435
c3218_g1_i1,c3218_g1_i1,c3218_g1,1,navi_HOG6162,80.06,958,160,23,249,1192,941,1,0.0,682
c3283_g1_i1,c3283_g1_i1,c3283_g1,1,navi_HOG3781,82.60,546,95,0,1434,1979,858,313,5e-136,483
c3283_g1_i2,c3283_g1_i2,c3283_g1,2,navi_HOG3781,78.80,2094,408,25,355,2424,2394,313,0.0,1375
c3576_g1_i1,c3576_g1_i1,c3576_g1,1,navi_HOG4028,81.91,1017,178,5,376,1389,1,1014,0.0,854
c3866_g1_i1,c3866_g1_i1,c3866_g1,1,navi_HOG5910,76.90,303,70,0,381,683,536,234,4e-43,172
c4276_g1_i1,c4276_g1_i1,c4276_g1,1,navi_HOG6259,84.63,2088,319,2,1053,3139,544,2630,0.0,2076
c4296_g1_i1,c4296_g1_i1,c4296_g1,1,navi_HOG5583,87.58,322,28,5,756,1065,1560,1881,8e-100,363
c4296_g1_i1,c4296_g1_i1,c4296_g1,1,navi_HOG5583,77.85,578,109,15,12,587,813,1373,4e-93,340
c4455_g1_i1,c4455_g1_i1,c4455_g1,1,navi_HOG2911,83.33,408,68,0,1,408,807,1214,5e-105,377
c4455_g2_i1,c4455_g2_i1,c4455_g2,1,navi_HOG2911,87.85,576,70,0,3,578,1207,1782,0.0,676
c4469_g1_i1,c4469_g1_i1,c4469_g1,1,navi_HOG7135,86.07,919,127,1,515,1433,918,1,0.0,987
c4560_g1_i1,c4560_g1_i1,c4560_g1,1,navi_HOG4028,76.53,213,45,5,374,585,22,230,2e-24,111
c4560_g1_i2,c4560_g1_i2,c4560_g1,2,navi_HOG4028,76.53,213,45,5,374,585,22,230,1e-24,111
c4575_g1_i1,c4575_g1_i1,c4575_g1,1,navi_HOG5698,83.47,599,96,2,74,669,1,599,4e-158,555
c4575_g1_i2,c4575_g1_i2,c4575_g1,2,navi_HOG5698,84.20,386,58,2,64,446,214,599,3e-103,372
c4590_g1_i1,c4590_g1_i1,c4590_g1,1,navi_HOG6968,81.49,643,108,9,750,1388,6,641,1e-146,518
c4591_g1_i1,c4591_g1_i1,c4591_g1,1,CG3186_486_Nasonia,80.58,206,40,0,849,1054,263,58,6e-39,159
c4608_g1_i1,c4608_g1_i1,c4608_g1,1,navi_HOG6624,85.09,1355,169,13,828,2152,1,1352,0.0,1352
c4744_g1_i1,c4744_g1_i1,c4744_g1,1,navi_HOG7083,84.98,253,36,2,995,1245,3473,3725,1e-67,255
c4805_g1_i1,c4805_g1_i1,c4805_g1,1,navi_HOG5042,81.48,664,123,0,444,1107,75,738,4e-155,545
c4919_g1_i1,c4919_g1_i1,c4919_g1,1,navi_HOG5277,74.22,706,132,33,781,1452,2558,1869,4e-66,250
c4919_g1_i1,c4919_g1_i1,c4919_g1,1,navi_HOG5277,97.83,46,1,0,683,728,2683,2638,6e-15,80.5
c5071_g1_i1,c5071_g1_i1,c5071_g1,1,navi_HOG6384,96.97,33,1,0,1,33,695,727,2e-08,56.5
c5094_g2_i1,c5094_g2_i1,c5094_g2,1,navi_HOG3900,89.67,765,77,2,692,1455,1,764,0.0,974
c5181_g2_i1,c5181_g2_i1,c5181_g2,1,navi_HOG7108,86.59,246,33,0,275,520,2991,2746,4e-73,272
c5354_g1_i1,c5354_g1_i1,c5354_g1,1,navi_HOG6450,83.67,735,117,3,306,1039,738,6,0.0,689
c5472_g1_i1,c5472_g1_i1,c5472_g1,1,navi_HOG5396,83.30,449,75,0,302,750,449,1,1e-115,414
c5560_g1_i1,c5560_g1_i1,c5560_g1,1,navi_HOG3688,81.46,1176,215,2,88,1260,1,1176,0.0,961
c5610_g1_i1,c5610_g1_i1,c5610_g1,1,navi_HOG5056,98.72,78,1,0,24,101,2899,2976,1e-32,139
c5610_g1_i2,c5610_g1_i2,c5610_g1,2,navi_HOG5056,98.70,77,1,0,385,461,2900,2976,5e-32,137
c5668_g1_i1,c5668_g1_i1,c5668_g1,1,navi_HOG5177,85.41,699,102,0,1,699,1065,1763,0.0,726
c5668_g2_i1,c5668_g2_i1,c5668_g2,1,navi_HOG5177,87.63,970,120,0,4,973,1082,113,0.0,1127
c5765_g2_i1,c5765_g2_i1,c5765_g2,1,navi_HOG3517,84.15,1621,246,6,224,1837,2781,1165,0.0,1559
c5829_g1_i1,c5829_g1_i1,c5829_g1,1,navi_HOG3423,79.96,1003,187,13,200,1192,1,999,0.0,726
c5868_g1_i1,c5868_g1_i1,c5868_g1,1,navi_HOG5049,81.65,1161,207,5,207,1364,1158,1,0.0,959
c6141_g1_i1,c6141_g1_i1,c6141_g1,1,navi_HOG6617,80.45,982,176,16,673,1646,974,1,0.0,736
c6200_g1_i2,c6200_g1_i2,c6200_g1,2,navi_HOG6968,79.23,1040,203,11,1,1032,3782,2748,0.0,712
c6387_g1_i1,c6387_g1_i1,c6387_g1,1,navi_HOG2931,80.58,855,161,4,177,1027,854,1,0.0,654
c6405_g1_i1,c6405_g1_i1,c6405_g1,1,navi_HOG3978,82.45,507,77,7,11,514,1849,2346,2e-121,433
